を数量指定でご注文いただけます|||can be ordered by specifying a quantity|||可指定数量下单
ページもあります（ヘッダーの「デタウリ」から切替）|||page as well (switch from "Detauri" in the header)|||页面（可从页眉的「Detauri」切换）
数量を選んでカートに追加してください|||Choose a quantity and add to your cart|||请选择数量并加入购物车
沖縄県および価格破壊商品は¥10,000以上でも送料別途|||Okinawa and clearance items are charged shipping even above ¥10,000|||冲绳县及破价商品即使满¥10,000仍需另付运费
沖縄県および価格破壊商品は¥10,000以上でも送料別途かかります|||Okinawa and clearance items are charged shipping even above ¥10,000|||冲绳县及破价商品即使满¥10,000仍需另付运费
：数量を決めてカートに追加|||: Choose a quantity and add to your cart|||：确定数量并加入购物车
：購入ごとに貯まるポイントを1pt=1円として割引に使用できます|||: Points earned on each purchase can be used as ¥1 each toward discounts|||：每次购买累积的积分可按1积分=1日元用于折扣
* 月平均¥42,000のご購入で1年でダイヤモンドに到達できます|||* Averaging ¥42,000 a month gets you to Diamond in a year|||* 月均购买¥42,000，一年即可达到钻石等级
* ランクは判定の瞬間から過去12ヶ月の購入金額で自動判定（ローリング方式・固定の更新日はありません）|||* Rank is determined automatically from your purchases over the 12 months preceding the moment of evaluation (rolling window, no fixed renewal date)|||* 等级依据评定时点前12个月的购买金额自动判定（滚动方式・没有固定更新日）
🎉 新規会員登録で初回購入が全品50%OFF！|||🎉 Sign up and get 50% OFF everything on your first order!|||🎉 注册新会员，首单全场5折！
※初回50%OFFは2026年9月30日まで（先行登録のお得）・初回購入のみ・会員登録必須|||*First-order 50% OFF runs until September 30, 2026 (early sign-up offer), applies to your first order only, and requires an account|||*首单5折截至2026年9月30日（抢先注册优惠）・仅限首单・需注册会员
：アソート1箱（10kg程度）。数量分の送料がかかります|||: One Assort box (about 10 kg). Shipping is charged per box|||：混装批发1箱（约10kg）。将按数量收取运费
※初回50%OFF適用時は対象外／|||*Not applicable during the first-order 50% OFF /|||*首单5折期间不适用／
※クレジットカード・PayPay・Apple Pay：手数料なし|||*Credit card, PayPay, Apple Pay: no fee|||*信用卡・PayPay・Apple Pay：无手续费
X・Instagram・TikTok等でデタウリをシェアし、スクリーンショットをアップロードしてください。|||Share Detauri on X, Instagram, TikTok, etc., then upload a screenshot.|||请在 X・Instagram・TikTok 等平台分享 Detauri，并上传截图。
お知り合いを紹介して、お互いに300ポイントをゲット！|||Refer someone you know and you both get 300 points!|||推荐熟人，双方各得300积分！
読み込みがタイムアウトしました。ページを再読み込みしてください。|||Loading timed out. Please reload the page.|||加载超时。请重新加载页面。
表示エラー:|||Display error:|||显示错误：
接続エラー|||Connection error|||连接错误
| デタウリ.Detauri アソート商品||| | Detauri Assort (bulk)||| | Detauri 混装批发商品
もっと見る ▼|||Show more ▼|||查看更多 ▼
閉じる ▲|||Close ▲|||收起 ▲
相当）を利用します|||worth) will be used|||相当）将被使用
お支払いへ進む|||Proceed to payment|||前往付款
あと¥|||¥|||还差¥
（価格破壊商品は対象外）|||(clearance items excluded)|||（破价商品不适用）
必須項目を入力してください|||Please fill in the required fields|||请填写必填项目
アソート商品をカートに追加してください|||Please add Assort items to your cart|||请将混装批发商品加入购物车
注文に失敗しました|||Order failed|||下单失败
【ご注文方法】\n1. 商品を選んで数量を指定\n2. カートに追加\n3. お届け先を入力すると送料が自動計算されます\n4. お支払い方法を選んで注文確定\n\n詳しくは画面上部の「商品ガイド」もご覧ください。|||[How to order]\n1. Choose an item and set the quantity\n2. Add it to your cart\n3. Enter your delivery address and shipping is calculated automatically\n4. Choose a payment method and confirm\n\nSee "Product guide" at the top of the screen for details.|||【下单方法】\n1. 选择商品并指定数量\n2. 加入购物车\n3. 输入收货地址后将自动计算运费\n4. 选择支付方式并确认订单\n\n详情请参阅页面上方的「商品指南」。
アソート商品は各商品ごとに最低注文数が設定されています。商品カードに表示されている数量からご注文いただけます。|||Each Assort item has its own minimum order quantity. You can order from the quantity shown on the item card.|||混装批发商品各自设有最低起订量。可从商品卡上显示的数量起订。
デタウリ（個品）ページとは？|||What is the Detauri (single item) page?|||什么是 Detauri（单品）页面？
【デタウリ（採寸撮影付き個品）ページ】\n1点ずつ商品を選べる個品販売ページです。\n\n・すべての商品に採寸撮影データが付いています\n・ブランド・カテゴリ・価格帯・状態ランクで絞り込み可能\n・ヘッダーの「デタウリ」ボタンから切り替えできます\n\nまとめ買いならアソート、1点ずつ選ぶならデタウリがおすすめです！|||[Detauri page - single items with measurements & photos]\nA single-item page where you choose pieces one at a time.\n\n- Every item comes with measurement and photo data\n- Filter by brand, category, price range, and condition rank\n- Switch to it with the "Detauri" button in the header\n\nUse Assort for bulk buying and Detauri to pick items one by one!|||【Detauri（附尺寸与拍摄的单品）页面】\n这是可逐件挑选商品的单品销售页面。\n\n・所有商品均附尺寸与拍摄数据\n・可按品牌、分类、价格区间、状态等级筛选\n・可通过页眉的「Detauri」按钮切换\n\n批量采购推荐混装批发，逐件挑选推荐 Detauri！
【送料について】\n送料はお届け先の地域と荷物のサイズによって異なります。\n住所を入力すると自動計算されます。\n\n・商品合計¥10,000以上で送料無料！\n・ダイヤモンド会員は常に送料無料（沖縄県含む）！\n\n※初回50%OFFキャンペーン適用時は「¥10,000以上送料無料」の対象外です。\n※沖縄県は「¥10,000以上送料無料」の対象外です（ダイヤモンド会員は対象）。\n※アソートの「価格破壊商品」は¥10,000以上でも送料別途かかります（商品カードに「送料別途」と表示）。\n\n詳しくはヘッダーの「アソート送料表」からご確認ください。|||[About shipping]\nShipping depends on your region and the parcel size.\nIt is calculated automatically once you enter your address.\n\n- Free shipping on item totals of ¥10,000 or more!\n- Diamond members always ship free (Okinawa included)!\n\n*The "free over ¥10,000" rule does not apply during the first-order 50% OFF campaign.\n*Okinawa is excluded from the "free over ¥10,000" rule (Diamond members are not).\n*Assort "clearance items" are charged shipping even above ¥10,000 (marked "shipping extra" on the item card).\n\nSee "Assort shipping rates" in the header for details.|||【关于运费】\n运费因收货地区与包裹尺寸而异。\n输入地址后将自动计算。\n\n・商品合计满¥10,000免运费！\n・钻石会员始终免运费（含冲绳县）！\n\n*首单5折活动期间不适用「满¥10,000免运费」。\n*冲绳县不适用「满¥10,000免运费」（钻石会员适用）。\n*混装批发的「破价商品」即使满¥10,000仍需另付运费（商品卡上标示「运费另计」）。\n\n详情请从页眉的「混装批发运费表」确认。
ポイントの使い方は？|||How do I use points?|||积分怎么用？
【ポイント利用方法】\n購入ごとにポイントが付与されます（レギュラー1%、シルバー3%、ゴールド5%）。\n\n使い方：\n1. 会員ログイン後、カート画面に「ポイント利用」セクションが表示されます\n2. 使用するポイント数を入力して「適用」ボタンを押す\n3. 1pt = 1円として割引されます\n\nマイページの「ポイント」タブで残高を確認できます。|||[How to use points]\nYou earn points on every purchase (Regular 1%, Silver 3%, Gold 5%).\n\nTo use them:\n1. Log in, and a "Use points" section appears in the cart\n2. Enter how many points to use and press "Apply"\n3. Each point is worth ¥1 off\n\nCheck your balance on the "Points" tab of My page.|||【积分使用方法】\n每次购买均会赠送积分（普通1%、银牌3%、金牌5%）。\n\n使用方法：\n1. 会员登录后，购物车页面会显示「使用积分」栏目\n2. 输入使用的积分数并点击「应用」按钮\n3. 按1积分=1日元进行折扣\n\n可在我的页面的「积分」标签查看余额。
機能・その他|||Features & other|||功能・其他
こんにちは！アソート商品ページへようこそ。\n副業物販向けの古着まとめ買い専用ページです。\nご質問のカテゴリをお選びいただくか、下の入力欄から自由にご質問ください。|||Hello, and welcome to the Assort (bulk) page.\nThis is our bulk-buying page for used clothing, made for side-business sellers.\nPick a question category, or type your own question in the box below.|||您好！欢迎来到混装批发商品页面。\n这是面向副业电商的二手服装批量采购专用页面。\n请选择问题分类，或在下方输入栏自由提问。
スタッフとのライブチャットを開きます。|||Opens a live chat with our staff.|||将打开与客服人员的实时聊天。
（無料）|||(free)|||（免费）
注文内容確認|||Review your order|||确认订单内容
カートに追加しました|||Added to cart|||已加入购物车
カートに商品があります！|||You have items in your cart!|||购物车中有商品！
このままページを離れると、カートの内容が失われる場合があります。|||If you leave now, your cart may be lost.|||若就此离开页面，购物车内容可能会丢失。
アソート商品 商品代|||Assort items subtotal|||混装批发商品 商品金额
デタウリ 商品代|||Detauri items subtotal|||Detauri 商品金额
アソート商品 小計|||Assort subtotal|||混装批发商品 小计
デタウリ 小計|||Detauri subtotal|||Detauri 小计
アソート商品 送料|||Assort shipping|||混装批发商品 运费
デタウリ 送料（クリックポスト・全国一律）|||Detauri shipping (Click Post, flat rate nationwide)|||Detauri 运费（Click Post・全国统一）
デタウリ 送料|||Detauri shipping|||Detauri 运费
アソート 送料|||Assort shipping|||混装批发 运费
、一部商品除外）|||, some items excluded)|||，部分商品除外）
、価格破壊商品分）|||, for clearance items)|||，破价商品部分）
仕入れ|||Sourcing|||进货
採寸撮影検品データ付きの中古ブランド衣料が1点100円〜！副業で古着販売するならデタウリがおすすめ💰 個品選びもアソートもあるので仕入れに便利です✨|||Used branded clothing with measurement, photo, and inspection data from ¥100 an item! Detauri is our pick for anyone reselling used clothes as a side business 💰 Choose single items or buy in bulk - either way, sourcing is easy ✨|||附尺寸拍摄验货数据的二手品牌服装，单件100日元起！副业做二手服装销售推荐 Detauri 💰 既可单品挑选也可混装批发，进货非常方便 ✨
画像は5MB以下にしてください|||Please use an image of 5MB or less|||图片请控制在5MB以内
申請しました|||Submitted|||已提交
クーポンコードをコピーしました|||Coupon code copied|||已复制优惠券代码
メルマガを停止しました|||Newsletter unsubscribed|||已停止电子报
メルマガを受信に設定しました|||Newsletter subscribed|||已设置为接收电子报
メルマガ設定の変更に失敗しました|||Could not change your newsletter setting|||电子报设置更改失败
紹介URLをコピーしました|||Referral URL copied|||已复制推荐链接
デタウリ.Detauri - メルマガ配信停止|||Detauri - Unsubscribe from newsletter|||Detauri - 取消电子报订阅
処理中...|||Processing...|||处理中...
データの読み込みに失敗しました:|||Could not load the data:|||数据加载失败：
紹介コードが適用されました！300ポイント付与されました|||Referral code applied! 300 points have been added|||推荐码已应用！已赠送300积分
が適用されました|||has been applied|||已应用
